season,nickname,youtube_url,title,thumbnail_url,comment,votes,voters,time_slot,time_minute,created_at,updated_at
2,스타크,https://www.youtube.com/watch?v=QUXKib-jfEM,이마트,https://img.youtube.com/vi/QUXKib-jfEM/hqdefault.jpg,"조회수 1758만, 무슨 말이 더 필요하겠는가",6,"[""젠틀맨"",""1"",""수리"",""리버"",""링쿠"",""넵튠""]",,,2026-04-13 15:16:11.313723+00,2026-04-15 14:34:14.911064+00
2,에린,https://youtu.be/VlfAKvRpzto?si=vF0R_Xt50gR8Qc6k,"Dominic Fike, Weezer - Think Fast (Official Audio)",https://img.youtube.com/vi/VlfAKvRpzto/hqdefault.jpg,"성큼 다가오는 여름, 어지러이 지나가는 매일, 떨치기 어려운 생각들 ",3,"[""젠틀맨"",""프리송"",""링쿠""]",,,2026-04-13 15:18:55.614145+00,2026-04-14 10:41:32.278127+00
2,젠틀맨,https://youtu.be/KD59LJX2r38?si=BJY2CbdxUuzxw9mn,m-flo loves melody. & Ryohei / miss you,https://img.youtube.com/vi/KD59LJX2r38/hqdefault.jpg,"DJ play that music louder, .... 도입부에서 논란 종결되는 추억의 노래ㅎ",1,"[""링쿠""]",,,2026-04-13 15:22:37.028328+00,2026-04-14 11:38:19.243501+00
2,큐,https://youtu.be/qkJ3P-9ofhE?si=wO_8P7BP24m9ThSI,MARK 마크 '200' MV,https://img.youtube.com/vi/qkJ3P-9ofhE/hqdefault.jpg,200OK를 기원하며,3,"[""젠틀맨"",""프리송"",""링쿠""]",,,2026-04-13 15:25:45.041634+00,2026-04-15 08:05:55.005503+00
2,쉐인,https://youtu.be/sHOwHwdiUIU?si=NoGZ8mNg0kum2s-j,JORDANN - Café Speed (Official Music Video),https://img.youtube.com/vi/sHOwHwdiUIU/hqdefault.jpg,"새벽 2시를 넘긴, 아련한 그리움 속으로 스며드는 부드러운 몽롱함",2,"[""젠틀맨"",""링쿠""]",,,2026-04-13 15:29:38.877334+00,2026-04-14 11:30:31.994196+00
2,수리,https://youtu.be/F1rbhDf0h68?si=Mt18qSeWd00VeMkh,aespa 에스파 - Armageddon Demo Ver. 데모 버전,https://img.youtube.com/vi/F1rbhDf0h68/hqdefault.jpg,"케데헌의 주인공 성우 EJAE가 부른
에스파 Armageddon 데모버전입니닷
솔직히 전 이게 원곡보다 좋아요
뭔가 코딩 다 부실 수 있을 것 같아요ㅎ",1,"[""링쿠""]",,,2026-04-13 15:52:02.075719+00,2026-04-14 11:34:38.41098+00
2,메이슨,https://youtu.be/_XhLIXjUtFg?si=4fPJ-QZyvhIqkUpP,Gesaffelstein - Opr,https://img.youtube.com/vi/_XhLIXjUtFg/hqdefault.jpg,"잡생각 끊고, 집중은 놓치지 않게 몰입을 이어지게 해주는 곡",3,"[""젠틀맨"",""프리송"",""링쿠""]",,,2026-04-13 16:09:08.730591+00,2026-04-14 13:22:42.896987+00
2,링쿠,https://www.youtube.com/watch?v=OUI4DbnkiYs,Kanye West - 옛사랑 (이문세),https://img.youtube.com/vi/OUI4DbnkiYs/hqdefault.jpg,"칸예도 이문세 님의 옛사랑을 부르면서 열심히 사는데
나도 열심히 공부해서 성공해야지 하는 마음을 갖게 하는 곡이에요.",2,"[""젠틀맨"",""크리스""]",,,2026-04-14 01:06:33.471043+00,2026-04-14 04:45:31.433479+00
2,레미,https://www.youtube.com/watch?v=pL6KivEkjXU&list=PLN2__r66ZoivhaoiAu2Ovv52I3o3dgdKM,"‘GAGA’ Official MV | 릴보이 (lIlBOI), pH-1, Woodie Gochild, BIG Naughty (서동현)",https://img.youtube.com/vi/pL6KivEkjXU/hqdefault.jpg,들으면 전투력이 상승하는 느낌과 함께 리듬타면서 작업이 가능합니다.,1,"[""링쿠""]",,,2026-04-14 03:47:36.691336+00,2026-04-14 04:13:29.118035+00
2,크리스,https://youtu.be/WNB8BUQCy-4?si=sZ4YsdSvCTUxWyLY,Bonvoyage,https://img.youtube.com/vi/WNB8BUQCy-4/hqdefault.jpg,러너들 앞으로의 여정이 즐거운 여행이면 좋겠어요,4,"[""빈"",""링쿠"",""리버"",""젠""]",,,2026-04-14 04:36:50.098078+00,2026-04-14 04:48:24.027041+00
2,리버,https://youtu.be/RJvjoFYydCo?si=upygWZePVNDT5Ial,[MV] 까치산 (KACHISAN) - 주제는 사랑 (Theme of Love) / Official Music Video,https://img.youtube.com/vi/RJvjoFYydCo/hqdefault.jpg,신나요 사랑합시다,2,"[""크리스"",""링쿠""]",,,2026-04-14 04:44:58.205749+00,2026-04-14 11:13:07.756018+00
2,빈,https://www.youtube.com/watch?v=RAPPW_vetZ8&list=RDRAPPW_vetZ8&start_radio=1,함께라서 빛난 시간,https://img.youtube.com/vi/RAPPW_vetZ8/hqdefault.jpg,함께라서 빛난 시간,2,"[""크리스"",""링쿠""]",,,2026-04-14 04:58:38.663531+00,2026-04-14 10:56:39.634916+00
2,로렌,https://youtu.be/imQDelNtwwU?si=c9HAtNePttxXpYjh,I Run,https://img.youtube.com/vi/imQDelNtwwU/hqdefault.jpg,들으면서 작업하다보면 자리를 박차고 달리고 싶게 만들수도..🏃🏃‍♀️,2,"[""프리송"",""링쿠""]",,,2026-04-14 06:23:03.216215+00,2026-04-14 13:22:36.485223+00
